WIN,LOSS
Baylor: Darwish & Hudson,Iowa: Patel & Weimar
Baylor: Darwish & Hudson,James Madison: Conway & Pelletier
Baylor: Darwish & Hudson,Kansas State: Robertson & Turner
Baylor: Darwish & Hudson,Kansas: Harker & Pham
Baylor: Darwish & Hudson,Kansas: Parker & Suleman
Baylor: Darwish & Hudson,Liberty: Hamilton & Short
Baylor: Darwish & Hudson,Liberty: Horne & Shuttlesworth
Baylor: Darwish & Hudson,Michigan State: Gearring & Scott
Baylor: Darwish & Hudson,Michigan: Hwang & Thurnell
Baylor: Darwish & Hudson,Minnesota: Johnson & Phoenix-Flood
Baylor: Darwish & Hudson,Minnesota: Parrish & Prost
Baylor: Darwish & Hudson,Missouri State: Albright & Burns
Baylor: Darwish & Hudson,Missouri State: Neal & Rauhoff
Baylor: Darwish & Hudson,Oklahoma: Smith & Waheed
Baylor: Darwish & Hudson,Oklahoma: Sullivan & Teague
Baylor: Darwish & Hudson,Samford: Gill & Tarnowski
Baylor: Darwish & Hudson,Texas: Desai & Kashyap
Baylor: Darwish & Hudson,Texas: Feinstein & Yang
Baylor: Darwish & Hudson,Trinity: King & Moore
Baylor: Darwish & Hudson,Tufts: Stinson & Tariko
Baylor: Darwish & Hudson,UT Dallas: Lasseter & Mubarak
Baylor: Darwish & Hudson,Wake Forest: Abughosh & Shaw
Baylor: Darwish & Hudson,Wake Forest: Bressler & Mojica
Baylor: Darwish & Hudson,Wake Forest: Bressler & Mojica
Baylor: Darwish & Hudson,Wake Forest: Gong & Leadham
Baylor: Darwish & Hudson,Wayne State: Mckenzie & Reza Husain
Baylor: Darwish & Hudson,Weber State: Henderson & Johnston
Baylor: Darwish & Hudson,West Georgia: Forsyth & Keller
Baylor: Darwish & Hudson,West Georgia: Kaidar-Heafetz & Roark
Baylor: Darwish & Hudson,Wichita State: Molina Chavez & Reed-Valizan
Baylor: Darwish & Hudson,Wyoming: Swidecki & Willson
Baylor: Feinauer & Hudson,Central Oklahoma: Funk & Wendland
Baylor: Feinauer & Hudson,Cornell: Abrams & Li
Baylor: Feinauer & Hudson,CSU Fullerton: Dewhurst & Perez
Baylor: Feinauer & Hudson,Houston: Hoxha & Khan
Baylor: Feinauer & Hudson,Kansas State: Spond & Walker
Baylor: Feinauer & Hudson,Liberty: Wallenmeyer & Wittstock
Baylor: Feinauer & Hudson,Minnesota: Amundsen & Sun
Baylor: Feinauer & Hudson,NYU: Fernando & Toussaint
Baylor: Feinauer & Hudson,Rutgers-Newark: Beckford & Khan
Baylor: Feinauer & Hudson,Texas: Chayet & Loyd
Baylor: Feinauer & Hudson,Wyoming: Porterfield & Powers
Baylor: Hudson & Laibe,Binghamton: Picallo & T. Louis
Baylor: Hudson & Laibe,Binghamton: T. Louis & Trivino
Baylor: Hudson & Laibe,Emory: Pierce & Wallen
Baylor: Hudson & Laibe,Emporia State: Krambeer & Reed-Valizan
Baylor: Hudson & Laibe,Georgia: Mruz & Vale
Baylor: Hudson & Laibe,Gonzaga: Dawson & Wellman
Baylor: Hudson & Laibe,Gonzaga: Martin & Renee
Baylor: Hudson & Laibe,Harvard: Gilmer-Hill & Mukherjee
Baylor: Hudson & Laibe,Houston: Foster & Goodrich
Baylor: Hudson & Laibe,Houston: Hoxha & Khan
Baylor: Hudson & Laibe,Houston: Lopez & McWilliams
Baylor: Hudson & Laibe,Indiana: Fish & Hoham
Baylor: Hudson & Laibe,Iowa: Cho & Piazza
Baylor: Hudson & Laibe,Iowa: Cho & Piazza
Baylor: Hudson & Laibe,Kansas State: Robertson & Turner
Baylor: Hudson & Laibe,Kansas State: Spond & Turner
