WIN,LOSS
Harvard: Ogbogu & Vazquez Torres,Emory: Navarrete & Palmer
Harvard: Ogbogu & Vazquez Torres,NYU: Hussain & Pierce
Harvard: Ogbogu & Yeboah,Baylor: Hudson & Laibe
Harvard: Ogbogu & Yeboah,Binghamton: Picallo & T. Louis
Harvard: Ogbogu & Yeboah,Cornell: Abrams & Li
Harvard: Ogbogu & Yeboah,Dartmouth: Lin & Wu
Harvard: Ogbogu & Yeboah,Emory: Haus & Reisman
Harvard: Ogbogu & Yeboah,Emory: Hazelbrook & Navarrete
Harvard: Ogbogu & Yeboah,Emporia State: Krambeer & Reed-Valizan
Harvard: Ogbogu & Yeboah,Georgetown: Ntangu & Wang
Harvard: Ogbogu & Yeboah,Georgetown: Wang & White
Harvard: Ogbogu & Yeboah,Georgia: Mruz & Wakefield
Harvard: Ogbogu & Yeboah,Houston: Fox & Lea
Harvard: Ogbogu & Yeboah,Indiana: Holland & Oluwayomi
Harvard: Ogbogu & Yeboah,Iowa: Cavanaugh & Namakula
Harvard: Ogbogu & Yeboah,Kansas: Mansoor & Soper
Harvard: Ogbogu & Yeboah,Kansas: Marshall & Park
Harvard: Ogbogu & Yeboah,Kansas: Martin & Revare
Harvard: Ogbogu & Yeboah,Kansas: Park & Semrick
Harvard: Ogbogu & Yeboah,Kansas: Peter & Semrick
Harvard: Ogbogu & Yeboah,Kentucky: Adam & Weinhardt
Harvard: Ogbogu & Yeboah,Kentucky: Di & Griffith
Harvard: Ogbogu & Yeboah,Kentucky: Stockstill & Weinhardt
Harvard: Ogbogu & Yeboah,Liberty: Cazeau & Robinson
Harvard: Ogbogu & Yeboah,Michigan State: Bennett & Koster
Harvard: Ogbogu & Yeboah,Minnesota: Phoenix-Flood & Rao
Harvard: Ogbogu & Yeboah,Navy: Korlacki & Rock
Harvard: Ogbogu & Yeboah,Northwestern: De Leon & Park
Harvard: Ogbogu & Yeboah,Pittsburgh: Mendoza & Osei
Harvard: Ogbogu & Yeboah,Pittsburgh: Reznik & Shah
Harvard: Ogbogu & Yeboah,Samford: Gill & Tarnowski
Harvard: Ogbogu & Yeboah,Samford: Gregory & Tarnowski
Harvard: Ogbogu & Yeboah,Southern California: Kuffour & Sun
Harvard: Ogbogu & Yeboah,Texas: Desai & Kashyap
Harvard: Ogbogu & Yeboah,Texas: Lugo & Real
Harvard: Ogbogu & Yeboah,UT Dallas: Lasseter & Watson
Harvard: Ogbogu & Yeboah,Wake Forest: Bathily & Puerto
Harvard: Ogbogu & Yeboah,Wake Forest: Bathily & Smith
Harvard: Ogbogu & Yeboah,Wake Forest: Bittner & Davidson
Harvard: Ogbogu & Yeboah,Wayne State: Bagdon & Reynolds
Harvard: Ogbogu & Yeboah,Western Washington: Allen & Haindfield
Harvard: Ogbogu & Yeboah,Western Washington: Roark & Shaw
Harvard: Ogbogu & Yeboah,Wichita State: Hinecker & Phillips
Harvard: Ogbogu & Yeboah,Wyoming: Campbell & Campbell
Harvard: Shah & Ugarte,Michigan State: Buchert & Koster
Harvard: Shah & Ugarte,Pittsburgh: Powell & Shah
Harvard: Shah & Ugarte,Rutgers-Newark: Beckford & Khan
Harvard: Shah & Ugarte,Southern California: Kim & Northcutt-Wyly
Harvard: Ukegbu & Yeboah,Dartmouth: Cai & Vazquez Torres
Harvard: Ukegbu & Yeboah,Wake Forest: Bittner & Davidson
Harvard: Ukegbu & Yeboah,Wake Forest: Bressler & Mojica
Harvard: Ukegbu & Yeboah,Weber State: Johnston & Parkin
Houston: Abad & Fries,Army: Duerig & Shatilensko
Houston: Abad & Fries,Central Oklahoma: Montaudy & Smith
Houston: Abad & Fries,Emory: Pierce & Wallen
Houston: Abad & Fries,Houston: Goodrich & Nguyen
Houston: Abad & Fries,Liberty: Berry & Horne
Houston: Abad & Fries,Liberty: Dellinger & Megill
Houston: Abad & Fries,Wichita State: McManus & Wentling
Houston: Abad & Goodrich,Purdue: Crisan & Manian
Houston: Abad & Goodrich,Wake Forest: Abughosh & Shaw
Houston: Abad & Khan,Emory: Waghray & Wilson
Houston: Abad & Khan,Emporia State: Krambeer & Reed-Valizan
Houston: Abad & Khan,Indiana: Logan & Vidali
Houston: Abad & Khan,Kansas: Harris & Wilkus
Houston: Abad & Khan,Missouri State: Abdelhakiem & Woodall
Houston: Abad & Khan,Oklahoma: Sullivan & Teague
Houston: Abad & Khan,Southern California: Channa & Lopez
Houston: Abad & Khan,UT Dallas: Karthik & Rios
Houston: Abad & Khan,Wake Forest: Perez & Shaw
Houston: Abad & Khan,Wyoming: Graham & Lever
Houston: Abad & Le,UMass Amherst: Peters & Sthanu
Houston: Abad & Le,UT Dallas: D'Antuono & Sharma
Houston: Abad & Regassa,Emory: So & Wang
Houston: Abad & Regassa,George Mason: Stolzenfeld & Wright
Houston: Abad & Regassa,Liberty: Hamilton & Short
Houston: Abad & Regassa,Minnesota: Prost & Wells
Houston: Abad & Regassa,Weber State: Parkin & Wall
Houston: Abad & Sheffield,Army: Opron & Shatilenko
Houston: Abad & Sheffield,Central Oklahoma: Wendland & Williams
Houston: Abad & Sheffield,Gonzaga: Dawson & Moreno
Houston: Abad & Sheffield,Gonzaga: Morioka & Zabolio
Houston: Abad & Sheffield,Indiana: Fish & Hoham
Houston: Abad & Sheffield,Minnesota: Haber-Fawcett & Munson
Houston: Abad & Sheffield,Missouri State: Shockley & Woodall
Houston: Abad & Sheffield,Towson: Christ & Tittle
Houston: Bhargav & Hoxha,Iowa: Bilicki & Huffman
Houston: Bonnete & Whiteley,James Madison: Duong & Duran
Houston: Bonnete & Whiteley,Monmouth: Siefert & Walker
Houston: Chowdhury & Schnitzer,CSU Fullerton: Loayza & Wiessner
Houston: Chowdhury & Schnitzer,Indiana: Fernando & Fish
Houston: Cryan & Fox,Baylor: Hudson & Laibe
Houston: Cryan & Fox,Baylor: McClinton & Nguyen
Houston: Cryan & Fox,Central Oklahoma: Huffman & Wendland
Houston: Cryan & Fox,CSU Northridge: Gonzalez & Talavera
Houston: Cryan & Fox,Emory: Hecht & Mitchell
Houston: Cryan & Fox,Emory: Satovsky & Shirts
Houston: Cryan & Fox,Georgia: Mruz & Vale
Houston: Cryan & Fox,Gonzaga: Dawson & Wellman
Houston: Cryan & Fox,Indiana: Fish & Hoham
Houston: Cryan & Fox,Iowa: Putney & Sanders
Houston: Cryan & Fox,Macalester: Karsh & Toro
Houston: Cryan & Fox,Michigan: Baumert & Gies
Houston: Cryan & Fox,Michigan: Margolin & Muse
Houston: Cryan & Fox,NYU: Sun & Ziabkin
Houston: Cryan & Fox,Southern California: Freeman & Khan
Houston: Cryan & Fox,Texas: Healey & Noriega
Houston: Cryan & Fox,Wake Forest: Perez & Shaw
Houston: Cryan & Fox,Wash Univ SL: Alexis & Willson
Houston: Cryan & Fox,Wayne State: Howard & Trestrail
Houston: Cryan & Fox,West Georgia: Forsyth & Keller
Houston: Cryan & Fox,Western Washington: Haindfield & Roark
Houston: Cryan & Fox,Wichita State: Chavez & Hummingbird
Houston: Cryan & Fox,Wyoming: Campbell & Campbell
Houston: Cryan & Kidd,Michigan: Agrawal & Hsu
Houston: Cryan & Kidd,Western Washington: Haindfield & King
Houston: Cryan & Lea,Baylor: McClinton & Nguyen
Houston: Cryan & Lea,Harvard: Gilmer-Hill & Mukherjee
Houston: Cryan & Lea,Minnesota: Amundsen & Prost
Houston: Doratt & Fernandez,Army: Sandford & Shatilenko
Houston: Doratt & Fernandez,Cornell: Alnasser & Lea
Houston: Doratt & Fernandez,CSU Fullerton: Delgado & Wiessner
Houston: Doratt & Fernandez,Georgia: Mruz & Vale
Houston: Doratt & Fernandez,Indiana: Fernando & Fish
Houston: Doratt & Fernandez,James Madison: Harlow & Ortiz
Houston: Doratt & Fernandez,James Madison: Mishra & Oehler
Houston: Doratt & Fernandez,Kansas State: Sand & Sum
Houston: Doratt & Fernandez,Kansas: Harker & Sharman
Houston: Doratt & Fernandez,Kentucky: Stockstill & Toro
Houston: Doratt & Fernandez,Liberty: Dellinger & Short
Houston: Doratt & Fernandez,Michigan State: Buck & Zi
Houston: Doratt & Fernandez,Michigan: Kuo & Mikelson
Houston: Doratt & Fernandez,Missouri State: Albright & Roy
Houston: Doratt & Fernandez,Missouri State: Burns & Shew
Houston: Doratt & Fernandez,Missouri State: Granger & Wilkinson
Houston: Doratt & Fernandez,Navy: Choi & Santiago
Houston: Doratt & Fernandez,Northwestern: Avery & Lee
Houston: Doratt & Fernandez,Oakton: Smith & Toro
Houston: Doratt & Fernandez,Oklahoma: Houston & Story
Houston: Doratt & Fernandez,Oklahoma: Waheed & Yarborough
Houston: Doratt & Fernandez,Southern California: Arreola & Griffin
Houston: Doratt & Fernandez,Texas: Anderson & Davis
Houston: Doratt & Fernandez,Wake Forest: Bathily & Smith
Houston: Doratt & Fernandez,Wichita State: Babcock & Babcock
Houston: Doratt & Fernandez,Wyoming: Swidecki & Willson
Houston: Doratt & Fernandez,Wyoming: Swidecki & Willson
Houston: Dubey & Wang,James Madison: Balda & Rinehart
Houston: Dubey & Wang,Kansas: Ren & Vu
Houston: Dubey & Wang,New School: Chaturvedi & Kpade
Houston: Dubey & Wang,NYU: Ku & Toussaint
Houston: Dubey & Wang,Southern Nazarene: Hough & Williams
Houston: Dubey & Wang,Texas: Chalamalasetty & Feinstein
Houston: Dubey & Wang,UT Dallas: Lasseter & Penumetcha
Houston: Foster & Goodrich,Baylor: Chatur & Sturgeon
Houston: Foster & Goodrich,Emory: Waghray & Wilson
Houston: Foster & Goodrich,Northwestern: Kim & Zimmerman
Houston: Foster & Goodrich,Trinity: Patterson & Walker
Houston: Foster & Goodrich,Wyoming: Graham & Lever
Houston: Foster & Traxler,Michigan State: Gearring & Scott
Houston: Fox & Koort,Baylor: Nguyen & Wyatt
Houston: Fox & Koort,Binghamton: Peguero & Picallo
Houston: Fox & Koort,George Mason: Joari & Turpen
Houston: Fox & Koort,Liberty: Copeland & Robinson
Houston: Fox & Lea,Baylor: McClinton & Nguyen
Houston: Fox & Lea,Baylor: McClinton & Nguyen
Houston: Fox & Lea,Binghamton: Ahuja & Marin
Houston: Fox & Lea,Central Oklahoma: Huffman & Wendland
Houston: Fox & Lea,CSU Fullerton: Loayza & Rosas
Houston: Fox & Lea,Dartmouth: He & Vazquez Torres
Houston: Fox & Lea,Emory: Bedi & Wallen
Houston: Fox & Lea,George Mason: Loew & Morris
Houston: Fox & Lea,Gonzaga: Hine & Martin
Houston: Fox & Lea,Harvard: Gilmer-Hill & Mukherjee
Houston: Fox & Lea,Indiana: Gupta & Jasani
Houston: Fox & Lea,Kansas State: Thoeni & Turner
Houston: Fox & Lea,Kansas: Revare & Snow
Houston: Fox & Lea,Kentucky: Dal Pra & Weinhardt
Houston: Fox & Lea,Liberty: Ramsey & Wallenmeyer
Houston: Fox & Lea,Michigan State: Adair & Meloche
Houston: Fox & Lea,Michigan State: Buchert & Koster
Houston: Fox & Lea,Michigan: Dombcik & Nguyen
Houston: Fox & Lea,Minnesota: Johnson & Sun
Houston: Fox & Lea,Missouri State: Cade & Kauffman
Houston: Fox & Lea,New School: Butler & Lima Boudakian
Houston: Fox & Lea,Northwestern: De Leon & Park
Houston: Fox & Lea,Northwestern: Landgraff & Stamenkovic Diez
Houston: Fox & Lea,Rutgers-Newark: Ogundare & St.Clair
Houston: Fox & Lea,Southern California: Koh & Northcutt-Wyly
Houston: Fox & Lea,Texas: Healey & Noriega
Houston: Fox & Lea,Texas: Healey & Noriega
Houston: Fox & Lea,Wyoming: Campbell & Mitchell
Houston: Fox & Lea,Wyoming: Campbell & Mitchell
Houston: Fox & Lea,Wyoming: Lassen & Radcliffe
Houston: Goodrich & Le,Southern California: Bhadani & Channa
Houston: Goodrich & Nguyen,George Mason: Jambunathan & Lujan
Houston: Goodrich & Nguyen,James Madison: Hennessy & Mishra
Houston: Goodrich & Nguyen,James Madison: Kaase & Ortiz
Houston: Goodrich & Nguyen,Liberty: Berry & Horne
Houston: Goodrich & Nguyen,Missouri State: Shockley & Wilkinson
Houston: Goodrich & Nguyen,NYU: Auquilla & Mittur
Houston: Goodrich & Nguyen,NYU: Aurora & Li
Houston: Goodrich & Rehman,Missouri State: Abdelhakiem & Woodall
Houston: Goodrich & Rehman,Oklahoma: Smith & Waheed
Houston: Goodrich & Traxler,Indiana: Jasani & Penumetcha
Houston: Goodrich & Traxler,Tufts: Stinson & Tariko
Houston: Hoxha & Khan,Central Oklahoma: Luke Smith
Houston: Hoxha & Khan,CSU Fullerton: Dewhurst & Perez
Houston: Hoxha & Khan,George Mason: Joari & Turpen
Houston: Hoxha & Khan,Gonzaga: Dawson & Zabolio
Houston: Hoxha & Khan,Harvard: Dean & Gines
Houston: Hoxha & Khan,James Madison: Duong & Duran
Houston: Hoxha & Khan,Kansas State: Spond & Turner
Houston: Hoxha & Khan,Samford: Gill & Riggs
Houston: Hoxha & Khan,Weber State: Brunyer & Thomae
Houston: Hoxha & Khan,Weber State: Mwiza & Phelps
Houston: Johnson & Regassa,CSU Long Beach: Basilio & Linares
Houston: Johnson & Regassa,George Mason: Reyes & Richter
Houston: Johnson & Regassa,George Mason: Rodak & Stolzenfeld
Houston: Johnson & Regassa,James Madison: Balda & Mishra
Houston: Johnson & Regassa,Rochester: Lama & Ozcayir
Houston: Khan & Le,CSU Fullerton: Garcia & Wiessner
Houston: Khan & Le,George Mason: Sejiny & Vantikommu
Houston: Khan & Le,Minnesota: Anderson McElligott & Kivimaki
Houston: Khan & Le,NYU: Aurora & Li
Houston: Khan & Le,UT Dallas: Karchmer & Sendejas
Houston: Khan & Woeste,Binghamton: Ahuja & Marin
Houston: Khan & Woeste,Columbia: Weintraub & Winnick
Houston: Khan & Woeste,Cornell: Davis & Merrill
Houston: Khan & Woeste,Monmouth: Dailey & Santos
Houston: Khan & Woeste,NYU: Kim & Scott
Houston: Khan & Yadagiri,Binghamton: Cohn & Guizatoullina
Houston: Khan & Yadagiri,Binghamton: Marin & Santora
Houston: Khan & Yadagiri,Emporia State: Reed-Valizan & Sims
Houston: Khan & Yadagiri,George Mason: Davis & Fuchs
Houston: Khan & Yadagiri,Gonzaga: Renee & Wellman
Houston: Khan & Yadagiri,Iowa: Cavanaugh & Ella
Houston: Khan & Yadagiri,James Madison: Brown & Rinehart
Houston: Khan & Yadagiri,James Madison: Mishra & Oehler
Houston: Khan & Yadagiri,Kansas State: Robertson & Sum
Houston: Khan & Yadagiri,Kansas State: Sand & Sum
Houston: Khan & Yadagiri,Kansas: Logback & Pham
Houston: Khan & Yadagiri,Kansas: Martinez & McConnell
Houston: Khan & Yadagiri,Liberty: Dellinger & Short
Houston: Khan & Yadagiri,Michigan State: Jarman & Scott
Houston: Khan & Yadagiri,Michigan State: Scully & Zi
Houston: Khan & Yadagiri,Michigan: Hwang & Thurnell
Houston: Khan & Yadagiri,Minnesota: Haber-Fawcett & Herzer
Houston: Khan & Yadagiri,Minnesota: Prost & Wells
Houston: Khan & Yadagiri,Missouri State: Albright & Woodall
Houston: Khan & Yadagiri,Missouri State: Burns & Shew
Houston: Khan & Yadagiri,Missouri State: Neal & Shockley
Houston: Khan & Yadagiri,Navy: Choi & Santiago
Houston: Khan & Yadagiri,Navy: Choi & Santiago
Houston: Khan & Yadagiri,Oklahoma: Sullivan & Teague
Houston: Khan & Yadagiri,Rochester: Edelstein & Emrich
Houston: Khan & Yadagiri,Samford: Blackwell & Riggs
Houston: Khan & Yadagiri,Samford: Riggs & Tarnowski
Houston: Khan & Yadagiri,Southern Nazarene: Hough & Williams
Houston: Khan & Yadagiri,Texas: Anderson & Davis
Houston: Khan & Yadagiri,Texas: Christ & Orellana
Houston: Khan & Yadagiri,Texas: Healey & Noriega
Houston: Khan & Yadagiri,Trinity: Patterson & Walker
Houston: Khan & Yadagiri,UMass Amherst: Mukherjee & Stinson
Houston: Khan & Yadagiri,Wake Forest: Cline & Wolfe
Houston: Khan & Yadagiri,Weber State: Johnston & Parkin
Houston: Khan & Yadagiri,West Georgia: Forsyth & Keller
Houston: Khan & Yadagiri,Wyoming: Graham & Lever
Houston: Khan & Yadagiri,Wyoming: Rhee & Willson
Houston: Kidd & Nguyen,Emory: Waghray & Wilson
Houston: Kidd & Nguyen,Georgia: Mruz & Vale
Houston: Kidd & Nguyen,Kansas: Harker & Pham
Houston: Kidd & Nguyen,Missouri State: Neal & Shockley
Houston: Kidd & Nguyen,New School: Cardenas & Oquendo
Houston: Kidd & Nguyen,New School: Gallo & Lapidus
Houston: Kidd & Nguyen,Northwestern: Avery & Lee
Houston: Kidd & Padmasolala,George Mason: Fuchs & Tatum
Houston: Kidd & Padmasolala,Oklahoma: Sullivan & Teague
Houston: King & Wang,Oklahoma: Houston & Shadman
Houston: Lacer & Threat,New School: Cardenas & Oquendo
Houston: Lacer & Threat,West Virginia: Carr & Fritts
Houston: Le & Le,Central Oklahoma: Luke Smith
Houston: Le & Vo,Liberty: Dellinger & Joyce
Houston: Le & Vo,Liberty: Dulas & Kerekes
Houston: Le & Vo,NYU: Fernando & Toussaint
Houston: Le & Vo,Weber State: Mwiza & Phelps
Houston: Lopez & McWilliams,Rochester: Edelstein & Gomez Lagandara
Houston: Russell & Varughese,Binghamton: Caron & Cassetta-Unrath
Houston: Russell & Varughese,Binghamton: Langsdorf & Wyble
Houston: Russell & Varughese,Missouri State: Roy & Shockley
Houston: Russell & Varughese,New School: Cardenas & Oquendo
Houston: Russell & Varughese,UT San Antonio: Carrillo & Ofsdahl
Houston: Sheffield & Traxler,Emory: Feldman & Waghray
Houston: Sheffield & Traxler,Emory: Liu & Park
Houston: Sheffield & Traxler,Georgia: Ippagunta & Vale
Houston: Sheffield & Traxler,Missouri State: Abdelhakiem & Kimmerle
Houston: Sheffield & Traxler,Southern California: Khan & Lopez
Houston: Sheffield & Traxler,Southern California: Khan & Mirza
Houston: Sheffield & Traxler,Wichita State: Molina Chavez & Reed-Valizan
Houston: Sheffield & Traxler,Wyoming: Knopp & Medina
Houston: Sheffield & Yadagiri,Kansas: Martinez & Schultz
Houston: Sheffield & Yadagiri,Northwestern: Chuang & Pacconi
Houston: Sheffield & Yadagiri,Northwestern: Kim & Liao
Houston: Sheffield & Yadagiri,Oklahoma: McManus & Teague
Houston: Sheffield & Yadagiri,UT Dallas: Karthik & Rios
Indiana: Datel & Gupta,Fullerton College: Gibson & Meza
Indiana: Datel & Gupta,George Mason: Daou & Hoang
Indiana: Datel & Gupta,UT Dallas: Beutelspacher & Kaul
Indiana: Fish & Hoham,Cornell: Alnasser & Lea
Indiana: Fish & Hoham,Houston: Foster & Traxler
Indiana: Fish & Hoham,Houston: Goodrich & Le
Indiana: Fish & Hoham,Houston: Hoxha & Khan
Indiana: Fish & Hoham,Michigan: Kirsch & Patterson
Indiana: Fish & Hoham,Missouri State: Hartter & Woodall
Indiana: Fish & Hoham,New School: Chaturvedi & Kaase
Indiana: Fish & Hoham,Purdue: Crisan & Manian
Indiana: Fish & Hoham,Purdue: Senapati & Sumita
Indiana: Fish & Hoham,Trinity: Walker & Wilson
Indiana: Fish & Hoham,Wake Forest: Abughosh & Shaw
Indiana: Fish & Hoham,Wake Forest: Perez & Shaw
Indiana: Fish & Logan,George Mason: Loew & Reed
Indiana: Fish & Logan,Northwestern: Agbede & De Leon
Indiana: Fish & Logan,Oakton: Karsh & Toro
Indiana: Fish & Logan,Oklahoma: Sullivan & Teague
Indiana: Fish & Midithuri,Baylor: LoCicero & Pertuit
Indiana: Fish & Midithuri,Emory: Feldman & Waghray
Indiana: Fish & Midithuri,Kansas: McConnell & Vu
Indiana: Fish & Midithuri,Michigan State: Buck & Zi
Indiana: Fish & Oluwayomi,Missouri State: Wilkinson & Woodall
Indiana: Floyd & Logan,Gonzaga: Moreno & Zabolio
Indiana: Gupta & Jasani,James Madison: Harris & Smith
Indiana: Gupta & Jasani,Wayne State: Mckenzie & Roumayah
Indiana: Gupta & Sabry,Cornell: Abrams & Li
Indiana: Gupta & Sabry,Iowa: Cavanaugh & Pieropan
Indiana: Gupta & Sabry,Liberty: Cazeau & Ramsey
Indiana: Gupta & Sabry,Oklahoma: Rogers & Spiers
Indiana: Gupta & Sabry,Southern California: Allison & Winchell
Indiana: Gupta & Sabry,UNLV: Boelkens & Sidley
Indiana: Gupta & Sabry,Wayne State: McKenzie & Roumayah
Indiana: Hoham & Jasani,Gonzaga: Moreno & Morioka
Indiana: Hoham & Jasani,Weber State: Mwiza & Thomae
Indiana: Holland & Oluwayomi,Emory: Eckel & Zhang
Indiana: Holland & Oluwayomi,Emory: Kumar & Waghray
Indiana: Holland & Oluwayomi,George Mason: Lowry & Peake
Indiana: Holland & Oluwayomi,Houston: Hoxha & Khan
Indiana: Holland & Oluwayomi,Mary Washington: Dover & Munson
Indiana: Holland & Oluwayomi,Michigan State: Scott & Van Zant
Indiana: Holland & Oluwayomi,Oakton: Karsh & Toro
Indiana: Holland & Oluwayomi,Wayne State: Guevara-West & Reza Husain
Indiana: Holland & Oluwayomi,Western Washington: Haindfield & King
Indiana: Jasani & Larson,CSU Fullerton: Perez & Rivera
Indiana: Jasani & Logan,Emory: Kumar & Waghray
Indiana: Jasani & Logan,Michigan: Agrawal & Hsu
Indiana: Jasani & Logan,Pittsburgh: Adams & Manjila
Indiana: Jasani & Logan,Purdue: Senapati & Sumita
Indiana: Jasani & Logan,Wake Forest: Bressler & Sayoto
Indiana: Jasani & Logan,Wyoming: Cole & Powers
Indiana: Jasani & Oluwayomi,CSU Fullerton: Hernandez & Rosas
Indiana: Jasani & Oluwayomi,CSU Fullerton: Jensen & Kejejyan
Indiana: Jasani & Penumetcha,Boston College: Cheek & Gleason
Indiana: Jasani & Penumetcha,Georgia: Mruz & Vale
Indiana: Jasani & Penumetcha,Houston: Foster & Goodrich
Indiana: Jasani & Penumetcha,Houston: Sheffield & Yadagiri
Indiana: Jasani & Penumetcha,Kansas State: Robertson & Sum
Indiana: Jasani & Penumetcha,Liberty: Berry & Horne
Indiana: Jasani & Penumetcha,Liberty: Horne & Posey
Indiana: Jasani & Penumetcha,Michigan: Kirsch & Patterson
Indiana: Jasani & Penumetcha,Minnesota: Davis & Haber-Fawcett
Indiana: Jasani & Penumetcha,Minnesota: Herzer & Short
Indiana: Jasani & Penumetcha,Missouri State: Shew & Wilkinson
Indiana: Jasani & Penumetcha,Navy: Choi & Santiago
Indiana: Jasani & Penumetcha,Purdue: Crisan & Manian
Indiana: Jasani & Penumetcha,UT Dallas: Lasseter & Mubarak
Indiana: Jasani & Penumetcha,Wake Forest: Abughosh & Jones
Indiana: Jasani & Penumetcha,Western Washington: Crowley & Thompson
Indiana: Jasani & Penumetcha,Western Washington: Haindfield & Roark
Indiana: Jasani & Penumetcha,Western Washington: Haindfield & Shaw
Indiana: Jasani & Penumetcha,Wyoming: Campbell & Campbell
Indiana: Le & Midithuri,Michigan: Dudewicz & Walter
Indiana: Logan & Penumetcha,Southern California: Lopez & Ortega
Indiana: Logan & Penumetcha,Trinity: Walker & Wilson
Indiana: Logan & Vidali,Houston: Sheffield & Traxler
Indiana: Logan & Vidali,Kansas: McConnell & Vu
Indiana: Logan & Vidali,Oklahoma: Smith & Waheed
Indiana: Logan & Vidali,Oklahoma: Sullivan & Teague
Indiana: Logan & Vidali,Texas: Christ & Wang
Indiana: Penumetcha & Vidali,Mary Washington: Dover & Hudgins
Indiana: Penumetcha & Vidali,NYU: Makinde & Saigal
Indiana: Penumetcha & Vidali,Pennsylvania: Balanovsky & Elsakhawy
Indiana: Penumetcha & Vidali,Wyoming: Swidecki & Willson
Iowa: Anderson McElligott & Parfenoff,Binghamton: Cohn & Santora
Iowa: Anderson McElligott & Parfenoff,Cornell: Gunendran & Jotsinghani
Iowa: Anderson McElligott & Parfenoff,CSU Fullerton: Perez Rivas & Perez Rivas
Iowa: Anderson McElligott & Parfenoff,Georgetown: Cowan & White
Iowa: Anderson McElligott & Parfenoff,Georgia: Ippagunta & Vale
Iowa: Anderson McElligott & Parfenoff,Gonzaga: Renee & Wellman
Iowa: Anderson McElligott & Parfenoff,Indiana: Fish & Logan
Iowa: Anderson McElligott & Parfenoff,Kansas: Logback & Sharman
Iowa: Anderson McElligott & Parfenoff,Kentucky: Adam & McBlain
Iowa: Anderson McElligott & Parfenoff,Michigan State: Bennett & Montford
Iowa: Anderson McElligott & Parfenoff,Minnesota: Johnson & Phoenix-Flood
Iowa: Anderson McElligott & Parfenoff,Rochester: Edelstein & Emrich
Iowa: Anderson McElligott & Parfenoff,Samford: Montgomery & Scott
Iowa: Anderson McElligott & Parfenoff,UT Dallas: D'Antuono & Sharma
Iowa: Anderson McElligott & Parfenoff,Wichita State: Babcock & Babcock
Iowa: Bennett & Chen,Dartmouth: Gonzalez & Gutierrez
Iowa: Bennett & Chen,Emory: Moodley & Sandhu
Iowa: Bennett & Chen,Emporia State: Krambeer & Reed-Valizan
Iowa: Bennett & Chen,Houston: Fox & Lea
Iowa: Bennett & Chen,Houston: Hoxha & Khan
Iowa: Bennett & Chen,Kentucky: Barrett & Dal Pra
Iowa: Bennett & Chen,Liberty: Kidd & Wittstock
Iowa: Bennett & Chen,Michigan: Flashner & Mikelson
Iowa: Bennett & Chen,Missouri State: Lucas & Reeves
Iowa: Bennett & Chen,Navy: Korlacki & Rock
Iowa: Bennett & Chen,Northwestern: Agbede & Stamenkovic Diez
Iowa: Bennett & Chen,Oklahoma: Sullivan & NA
Iowa: Bennett & Chen,Oklahoma: Sullivan & Waheed
Iowa: Bennett & Chen,Pittsburgh: Reznik & Shah
Iowa: Bennett & Chen,Texas: Desai & Kashyap
Iowa: Bennett & Chen,Wash Univ SL: Alexis & Datel
Iowa: Bennett & Chen,Weber State: Phelps & Stephens
Iowa: Bennett & Chen,Weber State: Phelps & Stephens
Iowa: Bennett & Chen,Western Washington: Shaw & StPeter
Iowa: Bennett & Chen,Wyoming: Lassen & Radcliffe
Iowa: Bennett & Chen,Wyoming: Lassen & Radcliffe
Iowa: Bennett & Roetlin,Baylor: Laibe & McClinton
Iowa: Bennett & Roetlin,Dartmouth: Mancini & Shankar
Iowa: Bennett & Roetlin,Dartmouth: Pandit & Sullivan
Iowa: Bennett & Roetlin,Emory: Navarrete & Palmer
Iowa: Bennett & Roetlin,George Mason: Armstrong & Loew
Iowa: Bennett & Roetlin,George Mason: Daou & Hoang
Iowa: Bennett & Roetlin,Georgetown: Gavsie & Lawless
Iowa: Bennett & Roetlin,Gonzaga: Hine & Martin
Iowa: Bennett & Roetlin,Houston: Fox & Lea
Iowa: Bennett & Roetlin,Johnson County: Babcock & Babcock
Iowa: Bennett & Roetlin,Johnson County: Babcock & Babcock
Iowa: Bennett & Roetlin,Kansas: Hassett & Snow
Iowa: Bennett & Roetlin,Kansas: Peter & Semrick
Iowa: Bennett & Roetlin,Kansas: Soper & Woodcock
Iowa: Bennett & Roetlin,Louisville: Benthall & Diallo
Iowa: Bennett & Roetlin,Michigan State: Grossman & Serrins
Iowa: Bennett & Roetlin,Michigan: Hall & Skoulikaris
Iowa: Bennett & Roetlin,Minnesota: Frese & Moriarty
Iowa: Bennett & Roetlin,Minnesota: Frese & Moriarty
Iowa: Bennett & Roetlin,Minnesota: Granstrom & Phoenix-Flood
Iowa: Bennett & Roetlin,Missouri State: Engelby & Parrish
Iowa: Bennett & Roetlin,Missouri State: Grace & Reeves
Iowa: Bennett & Roetlin,Northwestern: Landgraff & Stamenkovic Diez
Iowa: Bennett & Roetlin,Oklahoma: Rogers & Spies
Iowa: Bennett & Roetlin,Southern California: Allison & Winchell
Iowa: Bennett & Roetlin,Southern California: Koh & Northcutt-Wyly
Iowa: Bennett & Roetlin,UT Dallas: Beutelspacher & Kaul
Iowa: Bennett & Roetlin,Wake Forest: Bittner & Davidson
Iowa: Bilicki & Huffman,Emory: Park & so
